variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACTYRA_MOTORSPORTS_L18,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Motor sports,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MOUNTAIN_H01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Climbing or Mountaineering,NO,"[w1,2,5,6,7,8] 0=No|1=Yes || [w3,4] "
ACTYRA_MOUNTSCRAM_R05,3;4;5;6;7;8,6,3,8,Done 1-3 months ago: Mountaineering and scrambling,YES,"[w3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_NETBALL_F06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Netball,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_OBSTACLE_L07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Obstacle course (e.g. Tough Mudder),YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ORIENTEERING_H04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Orienteering,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_OTHERFITCLASS_P10,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other fitness or exercise class,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_PADDLE_R10,8,1,8,8,Done 1-3 months ago: Paddleboarding,YES,[w8] 0=No|1=Yes
ACTYRA_PADEL_G06,8,1,8,8,Done 1-3 months ago: Padel,YES,[w8] 0=No|1=Yes
ACTYRA_PARKOUR_H05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Parkour or free running,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_PICKLEBALL_G05,8,1,8,8,Done 1-3 months ago: Pickleball,YES,[w8] 0=No|1=Yes
ACTYRA_PILATES_P01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Pilates,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_POOL_I07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Pool,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_RACKETSPORT_C06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Racket sports,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_RESISTMACHINE_P17,2;3;4;5;6;7;8,7,2,8,Done 1-3 months ago: Resistance weights machines,YES,"[w2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_RIFLE_S09,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Rifle,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ROCKCLIMB_R01,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Rock climbing or bouldering,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ROLLERSKATING_L16,1;2;3;4;5;6;7;8,8,1,8,"Done 1-3 months ago: Rollerskating, inline skating, rollerblading",YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ROLLER_C14,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Roller or skating sports,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_ROUNDERS_F11,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Rounders,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
